[2023-05-22 00:02:52,030][__main__][INFO] - Generating data using 20 threads across 2 keys.
[2023-05-22 00:03:22,793][openai][INFO] - error_code=None error_message='That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID 0b4943812121168f078fdd692dd2ca81 in your message.)' error_param=None error_type=server_error message='OpenAI API error received' stream_error=False
[2023-05-22 00:03:22,793][langchain.chat_models.openai][WARNING] - Retrying langchain.chat_models.openai.ChatOpenAI.completion_with_retry.<locals>._completion_with_retry in 1.0 seconds as it raised RateLimitError: That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID 0b4943812121168f078fdd692dd2ca81 in your message.).
[2023-05-22 00:03:40,670][openai][INFO] - error_code=None error_message='That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID 39214071454b6ca2d7b71c86ad967966 in your message.)' error_param=None error_type=server_error message='OpenAI API error received' stream_error=False
[2023-05-22 00:03:40,670][langchain.chat_models.openai][WARNING] - Retrying langchain.chat_models.openai.ChatOpenAI.completion_with_retry.<locals>._completion_with_retry in 1.0 seconds as it raised RateLimitError: That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID 39214071454b6ca2d7b71c86ad967966 in your message.).
[2023-05-22 00:03:45,894][openai][INFO] - error_code=None error_message='That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID ebe8ed2a73cd027fd4060e1670d9e4f1 in your message.)' error_param=None error_type=server_error message='OpenAI API error received' stream_error=False
[2023-05-22 00:03:45,894][langchain.chat_models.openai][WARNING] - Retrying langchain.chat_models.openai.ChatOpenAI.completion_with_retry.<locals>._completion_with_retry in 1.0 seconds as it raised RateLimitError: That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID ebe8ed2a73cd027fd4060e1670d9e4f1 in your message.).
[2023-05-22 00:03:53,164][openai][INFO] - error_code=None error_message='That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID ce5e3fdef39d70dfc962a516eb5e3814 in your message.)' error_param=None error_type=server_error message='OpenAI API error received' stream_error=False
[2023-05-22 00:03:53,165][langchain.chat_models.openai][WARNING] - Retrying langchain.chat_models.openai.ChatOpenAI.completion_with_retry.<locals>._completion_with_retry in 1.0 seconds as it raised RateLimitError: That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID ce5e3fdef39d70dfc962a516eb5e3814 in your message.).
[2023-05-22 00:04:37,737][openai][INFO] - error_code=None error_message='That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID 0ac7ae72d99db209af337a64bdedc632 in your message.)' error_param=None error_type=server_error message='OpenAI API error received' stream_error=False
[2023-05-22 00:04:37,737][langchain.chat_models.openai][WARNING] - Retrying langchain.chat_models.openai.ChatOpenAI.completion_with_retry.<locals>._completion_with_retry in 1.0 seconds as it raised RateLimitError: That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID 0ac7ae72d99db209af337a64bdedc632 in your message.).
[2023-05-22 00:05:11,126][openai][INFO] - error_code=None error_message='That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID 891ec9dfe606f05c9fca85ecefc79802 in your message.)' error_param=None error_type=server_error message='OpenAI API error received' stream_error=False
[2023-05-22 00:05:11,126][langchain.chat_models.openai][WARNING] - Retrying langchain.chat_models.openai.ChatOpenAI.completion_with_retry.<locals>._completion_with_retry in 1.0 seconds as it raised RateLimitError: That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID 891ec9dfe606f05c9fca85ecefc79802 in your message.).
[2023-05-22 00:05:27,813][openai][INFO] - error_code=None error_message='That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID e565bafd408b5cd07ede993cdad77918 in your message.)' error_param=None error_type=server_error message='OpenAI API error received' stream_error=False
[2023-05-22 00:05:27,814][langchain.chat_models.openai][WARNING] - Retrying langchain.chat_models.openai.ChatOpenAI.completion_with_retry.<locals>._completion_with_retry in 1.0 seconds as it raised RateLimitError: That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID e565bafd408b5cd07ede993cdad77918 in your message.).
[2023-05-22 00:05:31,714][openai][INFO] - error_code=None error_message='That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID 62261c78034e34010a506c1fb6953b00 in your message.)' error_param=None error_type=server_error message='OpenAI API error received' stream_error=False
[2023-05-22 00:05:31,714][langchain.chat_models.openai][WARNING] - Retrying langchain.chat_models.openai.ChatOpenAI.completion_with_retry.<locals>._completion_with_retry in 1.0 seconds as it raised RateLimitError: That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID 62261c78034e34010a506c1fb6953b00 in your message.).
[2023-05-22 00:05:54,207][openai][INFO] - error_code=None error_message='That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID c8cf2fbb9a6e53a9bda7881e2dcc483d in your message.)' error_param=None error_type=server_error message='OpenAI API error received' stream_error=False
[2023-05-22 00:05:54,208][langchain.chat_models.openai][WARNING] - Retrying langchain.chat_models.openai.ChatOpenAI.completion_with_retry.<locals>._completion_with_retry in 1.0 seconds as it raised RateLimitError: That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID c8cf2fbb9a6e53a9bda7881e2dcc483d in your message.).
[2023-05-22 00:06:03,069][openai][INFO] - error_code=None error_message='That model is currently overloaded with other requests. You can retry your request, or contact us through our help center at help.openai.com if the error persists. (Please include the request ID b6843a34f6ba8d8566b95723b250ff83 in your message.)' error_param=None error_type=server_error message='OpenAI API error received' stream_error=False
