[2023-05-31 13:55:19,942][datasets.builder][WARNING] - Using custom data configuration default-4d7afaed4c3a8824
[2023-05-31 13:55:20,013][datasets.builder][WARNING] - Found cached dataset json (/home/veselovs/.cache/huggingface/datasets/json/default-4d7afaed4c3a8824/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab)
[2023-05-31 13:55:20,019][datasets.arrow_dataset][WARNING] - Loading cached shuffled indices for dataset at /home/veselovs/.cache/huggingface/datasets/json/default-4d7afaed4c3a8824/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab/cache-581a553876e869a1.arrow
[2023-05-31 13:55:20,453][datasets.builder][WARNING] - Using custom data configuration default-852dff337e828f0b
[2023-05-31 13:55:20,461][datasets.builder][WARNING] - Found cached dataset json (/home/veselovs/.cache/huggingface/datasets/json/default-852dff337e828f0b/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab)
[2023-05-31 13:55:20,467][datasets.arrow_dataset][WARNING] - Loading cached shuffled indices for dataset at /home/veselovs/.cache/huggingface/datasets/json/default-852dff337e828f0b/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab/cache-e94327786505e7d0.arrow
[2023-05-31 13:55:20,888][datasets.builder][WARNING] - Using custom data configuration default-4d7afaed4c3a8824
[2023-05-31 13:55:20,894][datasets.builder][WARNING] - Found cached dataset json (/home/veselovs/.cache/huggingface/datasets/json/default-4d7afaed4c3a8824/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab)
[2023-05-31 13:55:20,899][datasets.arrow_dataset][WARNING] - Loading cached shuffled indices for dataset at /home/veselovs/.cache/huggingface/datasets/json/default-4d7afaed4c3a8824/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab/cache-581a553876e869a1.arrow
[2023-05-31 13:55:21,318][datasets.builder][WARNING] - Using custom data configuration default-4d7afaed4c3a8824
[2023-05-31 13:55:21,326][datasets.builder][WARNING] - Found cached dataset json (/home/veselovs/.cache/huggingface/datasets/json/default-4d7afaed4c3a8824/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab)
[2023-05-31 13:55:21,340][datasets.arrow_dataset][WARNING] - Loading cached shuffled indices for dataset at /home/veselovs/.cache/huggingface/datasets/json/default-4d7afaed4c3a8824/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab/cache-581a553876e869a1.arrow
[2023-05-31 13:55:21,368][datasets.arrow_dataset][WARNING] - Loading cached processed dataset at /home/veselovs/.cache/huggingface/datasets/json/default-4d7afaed4c3a8824/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab/cache-1eb4b41c3926aecf.arrow
[2023-05-31 13:55:21,381][datasets.arrow_dataset][WARNING] - Loading cached processed dataset at /home/veselovs/.cache/huggingface/datasets/json/default-852dff337e828f0b/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab/cache-5ee30995f8b12052.arrow
[2023-05-31 13:55:21,393][datasets.arrow_dataset][WARNING] - Loading cached processed dataset at /home/veselovs/.cache/huggingface/datasets/json/default-4d7afaed4c3a8824/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab/cache-cee66c090676b0c5.arrow
[2023-05-31 13:55:21,409][datasets.arrow_dataset][WARNING] - Loading cached processed dataset at /home/veselovs/.cache/huggingface/datasets/json/default-4d7afaed4c3a8824/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab/cache-f626776b0d156b12.arrow
[2023-05-31 13:55:21,427][datasets.arrow_dataset][WARNING] - Loading cached processed dataset at /home/veselovs/.cache/huggingface/datasets/json/default-4d7afaed4c3a8824/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab/cache-2672c582805d7cd5.arrow
[2023-05-31 13:55:21,633][datasets.arrow_dataset][WARNING] - Loading cached processed dataset at /home/veselovs/.cache/huggingface/datasets/json/default-4d7afaed4c3a8824/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab/cache-e5eff2015188ff1d.arrow
[2023-05-31 13:55:21,652][datasets.arrow_dataset][WARNING] - Loading cached processed dataset at /home/veselovs/.cache/huggingface/datasets/json/default-852dff337e828f0b/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab/cache-7e315e5354372419.arrow
[2023-05-31 13:55:21,671][datasets.arrow_dataset][WARNING] - Loading cached processed dataset at /home/veselovs/.cache/huggingface/datasets/json/default-4d7afaed4c3a8824/0.0.0/e6070c77f18f01a5ad4551a8b7edfba20b8438b7cad4d94e6ad9378022ce4aab/cache-c3b3212674b6f1ee.arrow
